State,Condition Group,Condition,COVID-19 Deaths
Alabama,Respiratory diseases,Influenza and pneumonia,2056
Alabama,Respiratory diseases,Chronic lower respiratory diseases,486
Alabama,Respiratory diseases,Adult respiratory distress syndrome,393
Alabama,Respiratory diseases,Respiratory failure,2579
Alabama,Respiratory diseases,Respiratory arrest,513
Alabama,Respiratory diseases,Other diseases of the respiratory system,235
Alabama,Circulatory diseases,Hypertensive diseases,695
Alabama,Circulatory diseases,Ischemic heart disease,573
Alabama,Circulatory diseases,Cardiac arrest,928
Alabama,Circulatory diseases,Cardiac arrhythmia,437
Alabama,Circulatory diseases,Heart failure,435
Alabama,Circulatory diseases,Cerebrovascular diseases,284
Alabama,Circulatory diseases,Other diseases of the circulatory system,390
Alabama,Sepsis,Sepsis,756
Alabama,Malignant neoplasms,Malignant neoplasms,219
Alabama,Diabetes,Diabetes,690
Alabama,Obesity,Obesity,165
Alabama,Alzheimer disease,Alzheimer disease,201
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,492
Alabama,Renal failure,Renal failure,661
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",91
Alabama,All other conditions and causes (residual),All other conditions and causes (residual),2143
Alaska,Respiratory diseases,Influenza and pneumonia,123
Alaska,Respiratory diseases,Chronic lower respiratory diseases,26
Alaska,Respiratory diseases,Adult respiratory distress syndrome,29
Alaska,Respiratory diseases,Respiratory failure,78
Alaska,Respiratory diseases,Respiratory arrest,
Alaska,Respiratory diseases,Other diseases of the respiratory system,
Alaska,Circulatory diseases,Hypertensive diseases,17
Alaska,Circulatory diseases,Ischemic heart disease,22
Alaska,Circulatory diseases,Cardiac arrest,23
Alaska,Circulatory diseases,Cardiac arrhythmia,16
Alaska,Circulatory diseases,Heart failure,22
Alaska,Circulatory diseases,Cerebrovascular diseases,16
Alaska,Circulatory diseases,Other diseases of the circulatory system,12
Alaska,Sepsis,Sepsis,17
Alaska,Malignant neoplasms,Malignant neoplasms,29
Alaska,Diabetes,Diabetes,25
Alaska,Obesity,Obesity,12
Alaska,Alzheimer disease,Alzheimer disease,
Alaska,Vascular and unspecified dementia,Vascular and unspecified dementia,18
Alaska,Renal failure,Renal failure,19
Alaska,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",
Alaska,All other conditions and causes (residual),All other conditions and causes (residual),112
Arizona,Respiratory diseases,Influenza and pneumonia,5109
Arizona,Respiratory diseases,Chronic lower respiratory diseases,684
